Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2014-08-16,Arsenal,Crystal Palace,80,73,81,71,80,73,80,73,42,42,24,27,414.75,97.25,2,1,H,1,1,D,14,4,6,2,13,19,9,3,2,2,0,1,1.55,0.16,1.03,0.15,2.79,0.11,2.93,14.17,1.25,6.5,15.0,1.25,5.5,12.0,1.3,5.0,9.0,1.26,6.45,14.01,1.25,5.5,12.0,1.25,6.25,10.5,1.29,5.9,12.75
E0,2014-08-16,Leicester,Everton,70,78,70,79,71,78,70,79,37,40,26,25,66.7,182.85,2,2,D,1,2,A,11,13,3,3,16,10,3,6,1,1,0,0,1.28,0.61,0.4,0.31,1.95,0.76,14.48,11.69,3.2,3.4,2.4,2.9,3.2,2.4,2.9,3.3,2.3,3.14,3.38,2.46,3.1,3.1,2.4,3.2,3.4,2.4,3.11,3.4,2.47
E0,2014-08-16,Manchester United,Swansea,81,75,85,77,80,73,76,74,43,36,24,25,505.4,130.75,1,2,A,0,1,A,14,5,5,4,14,20,4,0,2,4,0,0,1.17,0.28,0.5,0.28,2.24,0.48,10.12,17.95,1.36,5.0,11.0,1.4,4.75,9.0,1.33,5.0,8.0,1.37,5.1,10.6,1.36,4.5,9.0,1.36,5.2,10.0,1.45,4.81,8.25
E0,2014-08-16,Queens Park Rangers,Hull,75,72,77,70,74,72,74,72,41,35,26,27,112.25,117.1,0,1,A,0,0,D,19,11,6,4,10,10,8,9,1,2,0,0,1.9,1.12,0.92,0.98,2.01,0.74,12.82,10.29,2.5,3.3,3.1,2.5,3.1,2.85,2.3,3.3,2.9,2.48,3.26,3.22,2.6,3.0,2.9,2.55,3.2,3.12,2.31,3.24,3.59
E0,2014-08-16,Stoke,Aston Villa,75,74,76,76,75,73,73,73,30,38,27,25,110.5,114.25,0,1,A,0,0,D,12,7,2,2,14,9,2,8,0,3,0,0,0.42,0.91,0.32,0.79,0.8,1.83,4.13,14.04,1.95,3.5,4.5,1.95,3.3,3.9,2.0,3.3,3.6,1.95,3.47,4.55,1.95,3.2,4.2,1.95,3.3,4.75,2.01,3.34,4.51
E0,2014-08-16,West Bromwich Albion,Sunderland,75,74,74,75,73,73,72,73,34,34,26,25,95.95,91.0,2,2,D,1,1,D,10,7,5,2,18,9,6,3,3,1,0,0,1.68,0.99,0.88,0.88,2.04,0.7,5.94,13.69,2.25,3.4,3.5,2.3,3.25,3.1,2.2,3.3,3.1,2.21,3.34,3.73,2.3,3.1,3.3,2.25,3.3,3.6,2.09,3.42,4.03
E0,2014-08-16,West Ham,Tottenham,74,79,76,80,73,77,72,77,36,42,25,24,135.9,304.15,0,1,A,0,0,D,18,10,4,4,12,10,8,5,1,0,1,1,1.85,1.02,0.94,0.91,2.02,0.71,11.25,10.96,3.8,3.6,2.05,3.5,3.4,2.05,3.1,3.3,2.2,3.96,3.55,2.06,3.75,3.3,2.05,4.0,3.5,2.05,3.92,3.67,2.03
E0,2014-08-17,Liverpool,Southampton,80,75,81,76,79,76,79,73,35,37,24,24,324.85,210.25,2,1,H,1,0,H,12,12,5,6,8,11,2,6,1,2,0,0,1.33,1.55,1.31,1.07,1.18,1.53,11.33,11.14,1.33,5.75,10.0,1.36,4.5,8.75,1.35,4.8,7.6,1.35,5.48,10.3,1.36,4.5,9.0,1.36,5.25,10.0,1.43,4.83,8.75
E0,2014-08-17,Newcastle United,Manchester City,76,82,74,83,75,82,75,81,42,34,23,26,140.0,448.25,0,2,A,0,1,A,12,13,0,5,8,11,3,3,1,5,0,0,0.97,1.48,0.78,1.14,0.94,1.78,15.59,12.91,5.25,4.33,1.67,4.75,3.8,1.67,4.9,3.7,1.65,5.8,4.28,1.63,5.0,3.75,1.67,5.5,4.1,1.67,5.55,4.38,1.63
E0,2014-08-18,Burnley,Chelsea,70,82,70,82,69,82,69,81,30,38,26,24,52.55,557.25,1,3,A,1,3,A,9,11,2,3,6,7,4,3,1,1,0,0,0.37,2.13,0.35,1.59,0.21,2.67,17.95,13.73,9.0,5.0,1.4,7.5,4.6,1.4,6.8,4.6,1.4,9.77,4.81,1.41,9.0,4.2,1.4,10.0,4.8,1.4,9.25,5.01,1.4
