Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
F1,2021-08-06,Monaco,Nantes,78,73,82,72,77,74,77,72,41,31,23,25,396.0,112.65,1,1,D,1,1,D,15,5,3,1,6,14,5,2,0,0,0,0,1.77,0.24,0.96,0.23,2.57,0.26,3.96,26.0,1.44,4.33,7.0,1.45,4.6,7.0,1.5,4.5,6.0,1.51,4.62,6.82,1.5,4.2,6.0,1.45,4.4,6.5,1.44,4.83,8.07
F1,2021-08-07,Lyon,Brest,78,72,78,74,79,72,77,71,40,30,24,25,397.7,103.15,1,1,D,0,1,A,17,13,4,8,10,12,9,4,1,1,0,0,1.18,1.02,1.02,0.84,1.48,1.23,8.32,30.0,1.33,5.0,8.5,1.36,5.5,7.5,1.35,5.75,7.5,1.35,5.95,8.71,1.32,5.25,8.0,1.3,5.5,8.5,1.37,5.55,8.59
F1,2021-08-07,Troyes,Paris Saint Germain,70,86,71,89,70,83,70,85,50,41,24,25,73.2,875.15,1,2,A,1,2,A,15,12,7,3,3,15,9,1,1,4,0,0,0.62,1.49,0.5,1.41,0.64,2.11,66.8,10.77,11.0,6.0,1.25,10.0,6.0,1.28,11.0,6.0,1.27,11.77,6.04,1.28,11.0,5.5,1.25,12.0,6.0,1.22,9.57,5.6,1.35
F1,2021-08-08,Rennes,Lens,76,74,76,73,76,75,76,73,36,35,22,24,305.35,154.05,1,1,D,1,1,D,10,11,2,6,10,14,3,9,0,2,0,0,0.6,2.14,0.37,1.43,0.31,2.54,7.48,16.76,2.0,3.4,3.75,2.0,3.5,3.8,2.05,3.5,3.65,2.06,3.61,3.85,2.0,3.4,3.7,2.0,3.3,3.7,1.93,3.68,4.32
F1,2021-08-08,Bordeaux,Clermont,74,69,73,68,74,70,74,71,54,39,24,25,116.85,55.1,0,2,A,0,0,D,10,19,6,10,13,9,5,10,1,0,0,0,0.51,2.96,0.51,2.4,0.13,2.8,10.73,14.0,2.0,3.4,3.75,2.1,3.3,3.7,2.1,3.35,3.6,2.13,3.47,3.79,2.05,3.3,3.6,2.05,3.25,3.7,2.69,3.22,2.95
F1,2021-08-08,Nice,Reims,76,73,78,70,75,73,75,74,34,40,23,23,266.05,149.4,0,0,D,0,0,D,12,5,2,0,10,8,4,2,1,1,0,0,1.1,0.16,0.85,0.13,2.26,0.43,6.74,16.81,1.85,3.5,4.2,1.9,3.7,4.0,1.9,3.6,4.2,1.88,3.78,4.38,1.85,3.4,4.2,1.83,3.4,4.33,1.82,3.58,5.12
F1,2021-08-08,Saint-Etienne,Lorient,73,71,75,72,74,72,73,70,44,35,24,25,105.65,61.3,1,1,D,0,0,D,20,12,3,3,10,14,8,4,2,3,0,0,1.86,0.84,0.99,0.67,2.2,0.58,7.92,12.62,2.25,3.25,3.2,2.25,3.4,3.2,2.25,3.5,3.15,2.27,3.64,3.26,2.2,3.4,3.1,2.2,3.3,3.2,2.22,3.46,3.54
F1,2021-08-08,Strasbourg,Angers,73,74,74,72,74,74,71,74,33,38,24,25,120.05,89.5,0,2,A,0,0,D,7,9,1,2,18,18,5,4,2,3,0,0,0.27,1.42,0.25,1.26,0.34,2.46,8.19,11.36,2.0,3.2,4.0,1.95,3.5,4.0,1.97,3.4,3.95,2.01,3.55,4.1,1.95,3.3,3.9,1.95,3.25,4.0,2.08,3.41,4.02
F1,2021-08-08,Metz,Lille,73,78,72,77,72,79,74,78,41,41,25,24,91.05,306.88,3,3,D,2,1,H,12,18,5,7,9,10,4,5,1,2,1,0,1.02,1.62,0.88,1.55,0.91,1.83,12.88,7.64,5.25,3.4,1.72,5.75,3.5,1.7,5.25,3.45,1.75,5.8,3.44,1.78,5.25,3.4,1.7,5.25,3.4,1.7,5.36,3.42,1.84
F1,2021-08-08,Montpellier,Marseille,75,78,75,80,76,76,73,75,36,38,24,23,144.6,284.7,2,3,A,2,0,H,8,21,1,7,10,5,6,11,0,1,0,0,0.76,2.16,0.69,1.87,0.46,2.35,13.0,10.68,3.2,3.4,2.2,3.1,3.5,2.25,3.05,3.45,2.3,3.12,3.58,2.37,3.0,3.4,2.25,3.1,3.3,2.25,3.65,3.7,2.09
