Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2015-08-22,Lazio,Bologna,79,72,79,72,79,70,79,71,38,42,25,25,175.3,75.23,2,1,H,2,1,H,21,9,9,4,18,8,10,3,2,1,0,0,1.54,0.38,0.98,0.28,2.34,0.44,7.97,18.33,1.5,4.2,7.0,1.5,3.8,7.0,1.5,4.0,6.1,1.48,4.52,8.27,1.5,4.0,7.0,1.45,4.5,8.0,1.48,4.32,8.99
I1,2015-08-22,Verona,Roma,74,80,75,79,75,82,73,79,42,48,25,24,47.73,332.9,1,1,D,0,0,D,12,21,7,8,9,11,3,7,2,1,0,0,0.87,1.16,0.45,1.01,1.09,1.6,15.45,6.22,5.5,3.75,1.67,5.0,3.6,1.7,4.5,3.5,1.75,5.35,3.87,1.74,5.0,3.5,1.73,5.5,3.7,1.75,5.68,3.85,1.71
I1,2015-08-23,Empoli,Chievo,71,74,71,74,71,74,71,74,38,40,24,27,74.6,49.78,1,3,A,1,0,H,15,12,5,3,15,19,8,5,1,2,0,0,1.24,1.08,1.2,0.66,1.51,1.18,8.87,7.14,2.15,3.25,3.6,2.2,3.1,3.4,2.3,3.2,3.0,2.2,3.28,3.83,2.2,3.1,3.5,2.2,3.13,4.0,2.34,3.31,3.45
I1,2015-08-23,Fiorentina,AC Milan,77,79,77,80,78,77,77,78,39,42,26,25,190.53,213.83,2,0,H,1,0,H,13,8,7,0,18,16,4,5,3,2,0,1,1.93,0.59,1.04,0.53,2.47,0.35,6.16,10.14,2.15,3.4,3.5,2.2,3.1,3.4,2.3,3.3,2.9,2.19,3.44,3.66,2.2,3.1,3.5,2.15,3.4,3.75,2.31,3.35,3.47
I1,2015-08-23,Frosinone,Torino,69,76,68,77,68,75,69,77,35,39,26,25,38.3,89.83,1,2,A,1,0,H,13,26,3,7,10,11,3,12,2,2,0,0,0.9,2.0,0.82,1.9,0.62,2.16,7.32,6.41,3.5,3.25,2.2,3.4,3.1,2.2,2.9,3.3,2.3,3.79,3.32,2.2,3.4,3.1,2.25,3.75,3.13,2.25,3.77,3.44,2.16
I1,2015-08-23,Inter,Atalanta,79,75,79,74,77,75,79,74,42,44,25,26,294.28,78.45,1,0,H,0,0,D,21,4,7,0,14,12,9,1,2,2,0,1,1.04,0.38,0.86,0.38,1.93,0.73,4.47,20.13,1.45,4.33,7.5,1.5,4.0,6.5,1.5,4.0,6.1,1.5,4.39,8.01,1.5,4.0,7.0,1.45,4.4,8.0,1.66,3.95,6.1
I1,2015-08-23,Juventus,Udinese,82,75,82,77,82,74,82,76,38,43,25,26,440.0,93.0,0,1,A,0,0,D,21,6,5,2,14,22,10,2,1,3,0,0,1.82,0.87,1.58,0.74,2.07,0.67,4.07,9.0,1.29,5.5,11.0,1.3,5.0,10.0,1.3,5.0,9.0,1.31,5.72,12.11,1.3,5.0,11.0,1.25,5.75,13.0,1.37,4.9,11.89
I1,2015-08-23,Palermo,Genoa,73,75,71,75,71,74,75,75,40,47,24,24,68.68,117.55,1,0,H,0,0,D,19,11,6,3,10,13,5,6,1,1,0,0,1.64,0.78,1.59,0.76,2.08,0.68,13.59,5.97,2.2,3.4,3.3,2.25,3.1,3.3,2.3,3.3,2.9,2.22,3.41,3.61,2.25,3.1,3.4,2.25,3.25,3.7,2.04,3.45,4.2
I1,2015-08-23,Sampdoria,Carpi,75,72,77,72,70,72,74,72,43,41,26,25,126.53,52.05,5,2,H,5,1,H,10,24,7,7,15,16,4,8,1,3,1,0,1.41,2.67,0.33,1.12,0.56,2.25,7.62,18.6,1.8,3.5,4.75,1.75,3.3,5.0,1.8,3.5,4.2,1.83,3.6,5.1,1.8,3.3,5.0,1.8,3.5,5.5,2.09,3.27,4.26
I1,2015-08-23,Sassuolo,Napoli,73,79,74,79,70,79,73,77,39,34,24,25,97.0,321.93,2,1,H,1,1,D,16,15,6,3,13,21,5,1,4,2,0,0,2.17,1.15,1.41,0.36,2.14,0.65,14.05,4.79,4.33,3.75,1.8,4.5,3.4,1.8,4.0,3.45,1.85,5.11,3.69,1.81,4.5,3.4,1.83,5.2,3.6,1.8,4.88,3.71,1.83
